"Helsingin asuntokuntien tulot ja verotus 31.12."

"Alue","Tulotyyppi","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"091 334 Hakuninmaa","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,47363,48395,48613,48580,49464,55244,55230,57891,59994,58817,60426,61649,61620,62880,63388,63725,61229
"091 334 Hakuninmaa","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,16551,17241,17541,17830,18616,20818,21202,22302,22935,22763,23876,24700,24644,24889,25486,25337,24704
"091 335 Kuninkaantammi","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,42312,43520
"091 335 Kuninkaantammi","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,18424,21447
"091 336 Honkasuo","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,30508
"091 336 Honkasuo","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,17902
"091 3 Keskinen suurpiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,24419,24836,24825,24804,23871,24959,26907,28565,33009,30298,31180,32320,33340,33985,34798,35721,36196
"091 3 Keskinen suurpiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,15111,15427,15382,15373,15579,16180,17275,18524,20818,18913,19738,20313,20790,21061,21391,21869,22168
"091 301 Kallion peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,24161,24560,24525,24517,23469,24763,26686,28231,32447,29687,30303,31150,32070,32958,33882,35128,35708
"091 301 Kallion peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,16288,16649,16600,16622,16718,17466,18647,19960,22335,20211,20995,21485,21917,22277,22701,23462,23855
"091 100 Sörnäinen (Ent.)","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,27057,27286,27409,27567,26696,28297,30548,31607,36220,33392,.,.,.,.,.,.,.
"091 100 Sörnäinen (Ent.)","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,16545,16787,16930,17032,17271,18164,19397,20360,22705,20919,.,.,.,.,.,.,.
"091 101 Vilhonvuori","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33992,34852,35670,35873,36028,36669,36633
"091 101 Vilhonvuori","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21739,22282,22732,22768,22694,23090,23276
"091 102 Kalasatama","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,28541,37983,43611,48752,50970,53643
"091 102 Kalasatama","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,15941,20698,22716,25276,26221,27186
"091 103 Sompasaari","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,..
"091 103 Sompasaari","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,..
"091 104 Hanasaari","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,..
"091 104 Hanasaari","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,..
"091 111 Siltasaari","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,29493,30018,30046,30836,29997,30890,32780,35362,40090,38330,38621,40445,41120,43967,43736,44889,46597
"091 111 Siltasaari","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,18680,18887,18976,19405,19822,20339,21558,23204,25841,24399,25177,26015,26266,27726,27170,27740,28544
"091 112 Linjat","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,22948,23228,23157,23038,22109,23197,25025,26959,30989,28045,28868,29849,30145,30718,31460,32030,32703
"091 112 Linjat","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,15806,16182,16032,16044,16118,16612,17864,19461,21691,19326,20214,20826,21006,21272,21625,22015,22518
"091 113 Torkkelinmäki","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,21691,22273,22058,21829,20421,21830,23590,24841,28862,26058,26482,27037,27949,28349,29052,31086,31112
"091 113 Torkkelinmäki","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,15860,16356,16186,16000,15855,16867,17893,19109,21660,19277,19878,20493,21027,21142,21831,23370,23363
"091 302 Alppiharjun peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,21540,22058,21654,21443,20462,21402,22948,24149,28150,25268,25773,26763,27218,27563,27931,28584,28892
"091 302 Alppiharjun peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,15357,15719,15523,15397,15644,16181,17235,18313,20691,18444,19206,19811,19966,20402,20583,21021,21343
"091 121 Harju","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,21518,21938,21425,21162,20036,20923,22400,23523,27503,24396,25045,25905,26522,26939,27249,27706,28172
"091 121 Harju","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,15391,15611,15430,15263,15468,15900,16977,17995,20317,17910,18741,19353,19573,20020,20234,20579,21099
"091 122 Alppila","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,21579,22263,22049,21930,21211,22236,23906,25264,29279,26795,27026,28235,28413,28643,29093,30073,30125
"091 122 Alppila","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,15299,15904,15681,15626,15946,16664,17675,18867,21335,19365,19997,20577,20629,21057,21164,21750,21745
"091 303 Vallilan peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,22249,22311,22356,22367,21335,22290,24744,26462,31506,28812,30508,31680,32900,33707,34648,36238,36935
"091 303 Vallilan peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,14002,14068,14089,14136,14345,14950,16368,17577,20000,18088,19317,20008,20592,20845,21150,21824,22220
"091 210 Hermanni (Ent.)","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,23505,23522,23581,23608,22992,24258,26893,28620,34270,32500,.,.,.,.,.,.,.
"091 210 Hermanni (Ent.)","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,14009,14124,14203,14228,14596,15307,16786,18054,20337,18941,.,.,.,.,.,.,.
"091 211 Hermanninmäki","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34344,35892,36865,37558,37193,37937,38061
"091 211 Hermanninmäki","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19987,20952,21512,21852,21520,21794,21901
"091 212 Hermanninranta","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,..
"091 212 Hermanninranta","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,..
"091 213 Kyläsaari","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,7675,7292,6801,7500,6830,7007
"091 213 Kyläsaari","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,6822,5820,5512,5956,5580,5711
"091 220 Vallila","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,21689,21781,21810,21816,20581,21383,23733,25407,30002,26818,28313,29335,31313,32553,34260,36481,37581
"091 220 Vallila","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,13998,14042,14034,14092,14221,14769,16154,17325,19795,17569,18880,19434,20353,20712,21421,22355,22952
"091 304 Pasilan peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,27777,27867,27452,27556,26396,27480,29037,30352,35357,32731,33796,34869,36158,36108,36437,36421,37092
"091 304 Pasilan peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,14238,14272,14142,14206,14361,15056,15791,16674,19026,17645,18595,19218,19820,19830,19784,19807,20062
"091 171 Länsi-Pasila","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,30520,30748,30119,30078,28875,29977,31634,33442,38710,36448,36832,38992,40189,40373,41074,41519,42004
"091 171 Länsi-Pasila","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,14687,14916,14814,14805,14954,15781,16709,17875,20487,19405,19919,21042,21579,21750,21926,22093,22317
"091 172 Pohjois-Pasila","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 172 Pohjois-Pasila","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 173 Itä-Pasila","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,24810,24744,24565,24845,23859,24966,26354,27160,31626,28591,30288,30003,31264,30928,30869,30237,30967
"091 173 Itä-Pasila","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,13698,13507,13373,13514,13733,14297,14802,15393,17364,15691,17043,16994,17598,17447,17175,16909,17176
"091 174 Keski-Pasila","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 174 Keski-Pasila","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 305 Vanhankaupungin peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,27954,28668,29050,28926,28376,29152,31185,33488,37934,35135,36107,37581,38846,39363,40356,40849,41075
"091 305 Vanhankaupungin peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,14282,14809,14901,14872,15261,15659,16654,18126,20212,18588,19203,19786,20372,20549,20980,21194,21333
"091 231 Toukola","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,28025,29494,30582,30613,31384,30070,29134,31117,35670,32514,33214,34173,35386,35473,36210,37814,37532
"091 231 Toukola","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,15554,16313,16173,15641,16502,16325,16642,17806,19967,18494,18752,19322,19809,19723,19934,20774,21061
"091 232 Arabianranta","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,.,.,.,.,.,.,36109,41088,45528,43071,44420,45716,47679,48648,49960,49898,49864
"091 232 Arabianranta","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,.,.,.,.,.,.,18725,21439,23258,21500,22177,22482,23437,23895,24378,24329,24239
"091 240 Kumpula","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,27492,28283,27748,26516,25682,26318,26580,28006,32787,29038,29609,30963,31677,31658,31431,32079,32423
"091 240 Kumpula","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,12940,13548,13150,12807,13092,13330,13710,14701,17074,14886,15356,16194,16240,16404,16524,16758,16913
"091 250 Käpylä","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,29433,30059,30531,30743,29963,31271,33334,35337,39127,36824,37797,39119,40132,40424,41444,42168,42803
"091 250 Käpylä","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,15588,15975,16291,16535,16772,17374,18413,19780,21618,20264,20947,21499,22209,22010,22374,22731,23231
"091 260 Koskela","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,24861,25359,25615,25575,23941,26086,27550,28599,32695,29349,29090,29506,30319,30309,30756,30544,29974
"091 260 Koskela","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,12132,12668,12567,12649,12694,13495,14032,14946,16858,15129,15314,15706,16015,15931,16220,16068,15667
"091 270 Vanhakaupunki","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,26372,25276,25651,25541,26514,24766,28001,28694,32569,23624,26230,35056,36181,36807,36983,37678,40258
"091 270 Vanhakaupunki","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,13788,13865,14707,14263,15428,14905,16286,16925,18925,15339,16130,17528,17887,18427,18468,19296,20203
"091 4 Pohjoinen suurpiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,40436,41433,41639,42432,41687,43913,46437,48134,50916,49845,51014,52518,53459,53701,54470,54958,54514
"091 4 Pohjoinen suurpiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,17738,18337,18508,19014,19307,20332,21504,22422,23548,23022,23825,24408,24911,25005,25302,25494,25367
"091 401 Maunulan peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,27376,27788,27825,27994,26334,27607,29234,30596,34439,32036,32309,32982,33761,34173,34586,35009,34726
"091 401 Maunulan peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,14320,14742,14876,15155,15034,15682,16633,17508,19365,17865,18314,18648,19185,19239,19340,19499,19385
"091 281 Pirkkola","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,50710,51403,52036,53693,52609,54304,58394,63952,67260,70178,69051,69845,72650,70738,70618,69665,69226
"091 281 Pirkkola","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,19190,19889,20096,20440,20617,21657,23499,26326,28606,29015,29405,29743,30961,30402,29508,29099,28832
"091 282 Maunula","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,23703,23995,24021,24175,22551,23641,25094,26135,29906,26930,27061,27613,28348,29037,29587,30079,30074
"091 282 Maunula","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,13126,13450,13603,13895,13643,14236,15093,15766,17701,15894,16192,16482,16986,17153,17381,17600,17582
"091 283 Metsälä","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,53368,54608,53430,53132,50595,54025,55061,56872,60855,61461,64285,64509,65101,64593,64926,65123,63227
"091 283 Metsälä","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,20300,21363,20990,21062,21720,22631,23666,25019,26106,25463,27271,27528,28126,28222,28023,27987,27680
"091 286 Maunulanpuisto","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 286 Maunulanpuisto","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 402 Länsi-Pakilan peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,54216,56195,56939,57695,58759,61694,65260,66522,68348,69110,71787,74419,76707,76867,78371,78293,78287
"091 402 Länsi-Pakilan peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,21376,22141,22421,22903,23543,24702,26124,26657,27268,27736,28926,29646,30512,30446,30990,31142,31124
"091 341 Länsi-Pakila","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,54216,56195,56939,57695,58759,61694,65260,66522,68348,69110,71787,74419,76707,76867,78371,78293,78287
"091 341 Länsi-Pakila","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,21376,22141,22421,22903,23543,24702,26124,26657,27268,27736,28926,29646,30512,30446,30990,31142,31124
"091 403 Tuomarinkylän peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,55802,57340,57750,59625,59362,62862,66763,69500,70826,70878,72837,74049,75261,75647,77105,77897,77505
"091 403 Tuomarinkylän peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,19150,19820,19991,20793,21174,22620,24119,25371,25982,26003,27075,27462,28016,28320,29030,29377,29416
"091 351 Paloheinä","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,59371,61798,61996,64524,63835,68132,72202,74705,75452,76172,78302,80127,81407,81871,83752,84688,84909
"091 351 Paloheinä","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,20415,21368,21263,22310,22507,24125,25574,26782,27184,27282,28495,29295,29898,30390,31235,31518,31855
"091 352 Torpparinmäki","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,48007,48112,48885,49380,49905,51767,55317,58694,60981,59525,61193,61461,62599,62910,63488,63852,62273
"091 352 Torpparinmäki","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,16319,16538,17171,17458,18191,19215,20784,22201,23239,23010,23786,23438,23917,23899,24305,24700,24152
"091 354 Haltiala","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 354 Haltiala","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 404 Oulunkylän peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,35338,35713,35787,36280,35298,37307,39344,40524,43465,41568,42188,43728,44309,44646,45306,45747,45354
"091 404 Oulunkylän peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,16913,17416,17566,17956,18152,19125,20132,20894,22266,21256,21787,22534,22806,23024,23176,23371,23146
"091 284 Patola","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,33819,34460,34404,34828,33786,35443,37868,38986,41941,40118,40694,42120,42635,43308,43868,44314,44077
"091 284 Patola","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,17117,17715,17689,18008,18209,19023,20299,21037,22421,21290,21855,22620,22806,23210,23354,23494,23290
"091 285 Veräjämäki","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,44760,44709,45573,46561,45868,49589,50278,51168,53711,51932,52807,54810,56146,56110,57313,58219,56909
"091 285 Veräjämäki","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,18799,19238,19933,20701,21062,22881,23024,23727,24554,24155,24822,25552,26091,26035,26208,26772,26165
"091 287 Veräjälaakso","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,27655,26855,26771,26837,25807,26899,28881,30952,34774,32048,32325,34052,34065,32595,32823,32909,32274
"091 287 Veräjälaakso","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,11834,11846,11985,12077,11984,12359,13327,14326,16488,15181,15282,15960,16194,15596,15613,15603,15603
"091 405 Itä-Pakilan peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,51470,52689,52916,54361,55997,58293,61545,64926,66817,67940,70889,71424,72471,72915,73198,73871,72618
"091 405 Itä-Pakilan peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,19472,20075,20189,20823,21562,22479,23618,25028,25641,26164,27464,27721,28406,28255,28492,28434,28337
"091 342 Itä-Pakila","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,52516,53740,53898,55312,57117,59401,62696,66059,67821,69070,72005,72341,73512,73662,74218,74521,73667
"091 342 Itä-Pakila","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,20110,20765,20835,21432,22174,23055,24226,25680,26339,26999,28277,28409,29213,29016,29352,29123,29182
"091 353 Tuomarinkartano","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 353 Tuomarinkartano","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 5 Koillinen suurpiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,31722,32202,32057,32072,31257,32892,35069,36675,40169,37803,38323,39142,39598,39980,40152,40258,39579
"091 5 Koillinen suurpiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,13929,14248,14286,14457,14694,15363,16407,17465,18805,17712,18354,18836,19087,19192,19326,19393,19162
"091 501 Latokartanon peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,26383,27045,27112,27075,26772,28304,30566,32093,36585,33669,34120,35167,35642,35953,36406,36547,35998
"091 501 Latokartanon peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,12886,13279,13280,13480,13944,14461,15512,16569,18254,16718,17317,17765,17956,18038,18316,18378,18200
"091 361 Viikinranta","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,36676,39199,39378,36443,40907,45836,52815,57853,61696,59750,63222,62088,61422,63215,63980,64629,63148
"091 361 Viikinranta","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,16833,17603,17636,16231,20645,23088,26636,28892,30906,29931,31177,31119,30961,31408,32016,31860,31062
"091 362 Latokartano","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,28413,30555,31274,31306,30851,33046,34668,36900,41651,38495,38787,39623,40321,40323,40830,40933,40591
"091 362 Latokartano","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,12031,13023,13127,13812,13983,14633,15479,16794,18450,16883,17610,17967,18212,18165,18556,18652,18564
"091 363 Viikin tiedepuisto","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,19163,17394,15918,14645,13455,15051,15568,15882,22523,15961,19108,20693,20321,20579,21057,20714,20190
"091 363 Viikin tiedepuisto","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,7438,8442,7675,7236,7537,7845,8152,9216,12210,8299,10271,11318,11095,11155,11298,11375,11246
"091 364 Viikinmäki","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,27725,26061,26291,26762,30443,30764,33302,34903,38812,36367,38843,39396,40444,41783,41890,41786,41048
"091 364 Viikinmäki","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,13391,12673,12899,13144,15532,15722,17193,17948,19765,18099,18960,19047,19608,19803,19713,19901,19711
"091 383 Pihlajamäki","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,25982,26912,26447,26204,25095,26148,27900,28315,31838,28998,29213,30337,30511,30565,30558,30959,30380
"091 383 Pihlajamäki","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,13196,13727,13716,13871,13981,14372,15181,15822,17020,15617,16184,16617,16697,16697,16794,17005,16751
"091 386 Pihlajisto","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,25998,25751,25997,25674,24458,25253,27130,27710,30683,29010,27801,28532,28970,29162,29685,28914,28260
"091 386 Pihlajisto","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,13313,13103,13254,13163,13327,13647,14617,15262,16862,15808,15425,15888,16128,16434,16896,16128,16020
"091 502 Pukinmäen peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,28040,28680,28749,28579,27321,28898,30685,31785,35140,32285,32883,33446,33722,33771,33841,33643,33091
"091 502 Pukinmäen peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,13935,14337,14502,14584,14601,15362,16424,17231,18773,17364,17971,18336,18353,18291,18260,18298,17893
"091 370 Pukinmäki","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,28040,28680,28749,28579,27321,28898,30685,31785,35140,32285,32883,33446,33722,33771,33841,33643,33091
"091 370 Pukinmäki","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,13935,14337,14502,14584,14601,15362,16424,17231,18773,17364,17971,18336,18353,18291,18260,18298,17893
"091 503 Malmin peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,33275,33781,33296,33209,32502,34116,36590,38633,41771,39724,40194,40685,41357,41453,41413,41469,40881
"091 503 Malmin peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,14518,14860,14813,14868,15097,15853,17109,18328,19667,18705,19353,19764,20189,20210,20265,20323,20148
"091 381 Ylä-Malmi","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,25873,26426,25954,25453,24116,25027,26922,28454,31799,29191,29231,29342,29910,29450,29206,29251,28609
"091 381 Ylä-Malmi","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,12700,13123,13116,13005,13058,13599,14761,15688,17316,15870,16394,16434,16841,16592,16500,16501,16282
"091 382 Ala-Malmi","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,27895,27898,27462,27381,26374,27436,29657,31191,34462,31395,32211,32541,32876,32655,32394,32215,32032
"091 382 Ala-Malmi","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,12098,12236,12207,12287,12501,12935,14083,15034,16501,15091,16029,16535,16792,16676,16511,16317,16296
