"Helsingin asuntokuntien tulot ja verotus 31.12."

"Alue","Tulotyyppi","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"091 531 Länsisaaret","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 531 Länsisaaret","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 103 Kampinmalmin peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,37428,38070,37974,38623,37161,39826,43092,44267,48746,46957,48090,48414,50034,50678,53284,56358,56071
"091 103 Kampinmalmin peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,20448,20961,20837,21367,21623,22898,24564,25773,27319,26178,27469,27673,28332,28484,29658,31302,31223
"091 40 Kamppi","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,33582,34050,34682,35384,33824,36761,39097,41033,45696,43072,44622,45303,46449,47467,50739,57922,56220
"091 40 Kamppi","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,19956,20485,20764,21153,21466,22881,24176,25787,27398,25741,27383,27922,28466,29059,30741,35075,34083
"091 130 Etu-Töölö","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,40716,41914,41513,42335,40730,43406,47865,48357,52961,52021,52891,54180,56432,56616,58710,59770,61048
"091 130 Etu-Töölö","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,22880,23675,23278,23949,24150,25495,27523,28401,29878,29041,30216,30659,31817,31823,32682,33126,33893
"091 201 Ruoholahti","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,36679,35179,34144,34547,34162,36449,38417,40390,43625,41018,41444,40921,41814,42169,43398,44157,44683
"091 201 Ruoholahti","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,15238,14712,14478,14897,15145,16104,17224,18591,19957,18934,19672,19636,20216,20530,20866,21347,21523
"091 202 Lapinlahti","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 202 Lapinlahti","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 203 Jätkäsaari","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,38420,39186,38685,38018,37118,38716,41657,41841,46093,45283,45393,41013,44705,47079,50072,50702,51099
"091 203 Jätkäsaari","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,17137,17479,17408,17529,17933,18447,20123,20762,22273,21687,22237,21397,22787,23592,24966,25455,26510
"091 104 Taka-Töölön peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,34754,35038,34960,35994,34697,37214,38856,41651,45568,43402,44587,46311,47357,47760,48597,49511,49758
"091 104 Taka-Töölön peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,20932,21160,21261,21830,22081,23448,24350,26271,27979,26447,27539,28580,29051,29259,29546,29918,30265
"091 140 Taka-Töölö","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,34754,35038,34960,35994,34697,37214,38856,41651,45568,43402,44587,46311,47357,47760,48597,49511,49758
