"12f1 -- 3. Inhabitants' disposable monetary income, 2010-2021"

"Postal code area","Information","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"00590  Kruunuvuorenranta (Helsinki)","Median income of inhabitants (HR)",28577,29476,29337,32173,32443,31935,26485,26907,26897,27448,27462,27812
"00600  Koskela (Helsinki)","Median income of inhabitants (HR)",16568,16631,17300,17742,17919,18259,18418,18699,19268,19915,20769,21890
"00610  Käpylä (Helsinki)","Median income of inhabitants (HR)",21225,21599,22517,22817,23178,23464,23893,24240,25228,26276,26208,26924
"00620  Metsälä - Etelä-Oulunkylä (Helsinki)","Median income of inhabitants (HR)",21796,22840,23670,23854,24099,24457,25230,24966,26581,27418,27833,28156
"00630  Maunula (Helsinki)","Median income of inhabitants (HR)",18197,18651,19317,19777,20149,20517,21064,21562,22464,23008,23296,24150
"00640  Oulunkylä - Patola (Helsinki)","Median income of inhabitants (HR)",21571,22111,22780,22762,22990,23295,23507,24080,25157,25897,25925,26878
"00650  Veräjämäki (Helsinki)","Median income of inhabitants (HR)",22992,23246,24126,24257,24013,24191,24732,24998,25607,26640,26685,28204
"00660  Länsi-Pakila (Helsinki)","Median income of inhabitants (HR)",26826,27623,28313,28773,28917,29367,29506,30046,31174,32594,33051,34117
"00670  Paloheinä (Helsinki)","Median income of inhabitants (HR)",28460,29110,30303,30139,30416,31147,31431,32090,33186,34225,34005,35431
"00680  Itä-Pakila (Helsinki)","Median income of inhabitants (HR)",26071,27045,27752,28357,28180,28198,29168,29228,30405,31182,31578,32943
"00690  Torpparinmäki (Helsinki)","Median income of inhabitants (HR)",24969,25175,25900,25805,26103,26453,26980,27220,27689,28873,29125,30402
"00700  Malmi (Helsinki)","Median income of inhabitants (HR)",19810,20029,20781,20998,20940,20989,21092,21449,21845,22432,22676,23206
"00710  Pihlajamäki - Viikinmäki (Helsinki)","Median income of inhabitants (HR)",18817,19176,20188,20445,20417,20921,21268,21371,21822,22390,22594,23071
"00720  Pukinmäki (Helsinki)","Median income of inhabitants (HR)",19645,20039,20859,20907,21066,21441,21474,21748,22516,23092,23187,23874
"00730  Tapanila (Helsinki)","Median income of inhabitants (HR)",23211,23622,24321,24649,24731,24966,25246,25673,26319,27123,27223,28064
"00740  Siltamäki (Helsinki)","Median income of inhabitants (HR)",21048,21404,22054,22237,22345,22477,22602,23060,23996,24819,24832,25507
"00750  Tapulikaupunki (Helsinki)","Median income of inhabitants (HR)",20622,21135,21947,22155,22085,22208,22483,22711,23262,24091,24004,24463
"00760  Puistola - Heikinlaakso (Helsinki)","Median income of inhabitants (HR)",24455,24595,25438,25897,25962,26237,26486,27103,27477,28334,28219,29095
"00770  Jakomäki - Alppikylä (Helsinki)","Median income of inhabitants (HR)",17278,17401,18277,18134,18936,19391,19672,20194,20682,21417,21619,22003
"00780  Tapaninvainio (Helsinki)","Median income of inhabitants (HR)",23308,23687,24321,24423,24733,24918,24916,25571,26272,27190,27259,28412
"00790  Viikki (Helsinki)","Median income of inhabitants (HR)",21163,21334,21862,22052,22019,22361,22814,23199,23454,24051,24397,24952
"00800  Länsi-Herttoniemi (Helsinki)","Median income of inhabitants (HR)",19235,19548,20019,20422,20911,21171,21527,22253,23356,24079,24027,24814
"00810  Herttoniemenranta (Helsinki)","Median income of inhabitants (HR)",22181,22722,23253,23345,23324,23560,23694,24300,25074,25547,25593,26304
"00820  Roihuvuori (Helsinki)","Median income of inhabitants (HR)",18389,18835,19390,19628,19809,20133,20510,21169,21920,22575,23046,23903
"00830  Tammisalo (Helsinki)","Median income of inhabitants (HR)",29616,29845,30432,29830,30695,30632,31945,32579,33620,34320,34743,35613
"00840  Yliskylä (Helsinki)","Median income of inhabitants (HR)",23491,23620,24381,24510,24565,24910,25056,25357,26154,27094,26910,27870
"00850  Jollas (Helsinki)","Median income of inhabitants (HR)",27683,27830,28970,29210,28769,29488,29686,30567,31560,32070,32089,34403
"00860  Santahamina (Helsinki)","Median income of inhabitants (HR)",25570,25813,26495,27492,27735,28097,28594,28334,29560,30288,31091,32024
"00870  Gunillanmäki - Hevossalmi (Helsinki)","Median income of inhabitants (HR)",19292,19442,20107,20461,20655,20773,21635,22118,22824,23989,24111,25106
"00880  Keski-Herttoniemi - Roihupelto (Helsinki)","Median income of inhabitants (HR)",11117,15891,19304,23146,23750,21693,22065,23234,24664,25867,25318,26168
"00890  Östersundom (Helsinki)","Median income of inhabitants (HR)",29485,30378,30284,29995,29322,29569,29265,28908,30130,31447,31526,32383
"00900  Puotinharju (Helsinki)","Median income of inhabitants (HR)",18411,18691,18928,19121,19241,19452,19886,20273,20661,21429,21690,21672
"00910  Puotila (Helsinki)","Median income of inhabitants (HR)",19014,19292,19973,20333,20719,20710,20959,21403,22012,22824,22801,23238
"00920  Myllypuro (Helsinki)","Median income of inhabitants (HR)",19079,19456,20499,20786,21174,21352,21809,22284,22723,23556,23865,24566
"00930  Itäkeskus - Marjaniemi (Helsinki)","Median income of inhabitants (HR)",19409,19722,20450,20632,20612,20405,21077,21315,21987,22303,22485,23021
"00940  Kontula - Vesala - Kivikko (Helsinki)","Median income of inhabitants (HR)",17738,18127,18824,19008,19088,19243,19324,19611,19965,20329,20429,20825
"00950  Vartioharju (Helsinki)","Median income of inhabitants (HR)",24410,24862,25366,26096,26443,26012,26201,26567,27402,28084,28086,28885
"00960  Pohjois-Vuosaari (Helsinki)","Median income of inhabitants (HR)",20917,21329,21678,21734,21956,22041,22190,22356,22954,23705,23545,23882
"00970  Mellunmäki (Helsinki)","Median income of inhabitants (HR)",19446,19923,20311,20771,20757,20861,20952,21374,22009,22305,22425,22841
"00980  Etelä-Vuosaari (Helsinki)","Median income of inhabitants (HR)",19808,20026,20550,20788,20761,20824,20968,21141,21741,22153,22252,22630
"00990  Aurinkolahti (Helsinki)","Median income of inhabitants (HR)",24106,24443,24785,24884,24897,24875,24892,25166,25952,26680,26396,27030
