"Alue","1993 Valtionveronalaiset tulot € / henkilö","1994 Valtionveronalaiset tulot € / henkilö","1995 Valtionveronalaiset tulot € / henkilö","1996 Valtionveronalaiset tulot € / henkilö","1997 Valtionveronalaiset tulot € / henkilö","1998 Valtionveronalaiset tulot € / henkilö","1999 Valtionveronalaiset tulot € / henkilö","2000 Valtionveronalaiset tulot € / henkilö","2001 Valtionveronalaiset tulot € / henkilö","2002 Valtionveronalaiset tulot € / henkilö","2003 Valtionveronalaiset tulot € / henkilö","2004 Valtionveronalaiset tulot € / henkilö","2005 Valtionveronalaiset tulot € / henkilö","2006 Valtionveronalaiset tulot € / henkilö","2007 Valtionveronalaiset tulot € / henkilö","2008 Valtionveronalaiset tulot € / henkilö","2009 Valtionveronalaiset tulot € / henkilö","2010 Valtionveronalaiset tulot € / henkilö","2011 Valtionveronalaiset tulot € / henkilö","2012 Valtionveronalaiset tulot € / henkilö","2013 Valtionveronalaiset tulot € / henkilö","2014 Valtionveronalaiset tulot € / henkilö","2015 Valtionveronalaiset tulot € / henkilö","2016 Valtionveronalaiset tulot € / henkilö","2017 Valtionveronalaiset tulot € / henkilö"
"091 201 Reijolan peruspiiri",14783,14541,15175,15774,16405,16938,19383,20247,20693,21652,21779,23047,22708,24154,25505,25894,28738,26706,28311,28082,28450,29283,29556,29574,30495
"091 150 Meilahti",15667,15645,16472,16907,17344,17334,19876,21441,21687,23496,22983,23654,23424,25112,26621,26685,29622,27200,34335,32292,32621,34643,34333,34023,35852
"091 160 Ruskeasuo (Ent.)",13467,13201,13771,14580,15226,16025,17416,18540,18965,19311,19966,21159,21663,22909,24048,24738,27242,25623,.,.,.,.,.,.,.
"091 161 Vanha Ruskeasuo",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28175,28949,29515,29716,30402,29811,31646
"091 162 Pikku Huopalahti",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24074,24463,24764,24867,25083,25570,25740
"091 180 Laakso",15852,15896,16645,17007,17871,18846,24754,22105,23314,23231,23825,27622,23872,25204,26797,27257,30997,28828,28961,29647,29935,31192,32569,32398,32401
"091 202 Munkkiniemen peruspiiri",19233,19667,20178,21297,23603,27445,30248,34161,31710,33319,34484,36938,31559,35535,37481,34815,36020,36151,37294,37690,37728,40269,41977,44541,44679
"091 301 Vanha Munkkiniemi",19227,20081,21063,22200,24008,29850,32739,37578,32605,35319,36144,37669,32412,34782,38502,35700,37279,37128,39684,38456,40279,42926,43841,43635,47306
"091 302 Kuusisaari",32892,41324,37510,43752,51652,73718,86615,118655,113719,112538,115096,154734,97923,151525,139257,104180,77281,91150,83277,116156,80416,112495,138110,90588,108342
"091 303 Lehtisaari",37107,33010,31917,33907,38136,44242,48661,51435,53509,54699,58693,62952,46084,52822,52610,44336,51709,51265,51635,49809,54352,53364,57686,121569,81671
"091 304 Munkkivuori",15379,15745,16169,16918,18824,18597,21679,23714,23198,23876,24593,25876,24775,25986,26950,27858,29749,29578,29505,30058,30186,30769,31036,31218,32099
"091 305 Niemenmäki",17598,17925,18608,19340,21101,22210,26160,25074,25159,25137,25799,26334,26064,27675,29233,29516,31661,31018,31573,31488,32219,33032,33941,34457,34437
